elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.219,SEARCH_LAST_PILLAR,,,,,80,0,20.0,,,,,,,,,,,False
0.297,SEARCH_LAST_PILLAR,0.0,72,247,43,80,0,20.0,,,,,,,,,,,False
0.391,PASS_LAST_PILLAR,0.0,67,247,28,80,0,20.0,,,,,,,,,,,False
0.453,PASS_LAST_PILLAR,0.0,69,246,18,80,0,20.0,,,,,,,,,,,False
0.469,PASS_LAST_PILLAR,1.0,66,246,19,80,0,20.0,,,,,,,,,,,False
0.500,PASS_LAST_PILLAR,1.0,67,244,16,80,0,20.0,,,,,,,,,,,False
0.563,PASS_LAST_PILLAR,1.0,67,244,16,80,0,20.0,,,,,,,,,,,False
0.578,PASS_LAST_PILLAR,2.0,68,243,19,80,0,20.0,,,,,,,,,,,False
0.688,PASS_LAST_PILLAR,2.0,68,243,20,80,0,20.0,,,,,,,,,,,False
0.750,PASS_LAST_PILLAR,4.0,67,241,55,80,0,20.0,,,,,,,,,,,False
0.781,PASS_LAST_PILLAR,5.0,68,240,56,80,0,20.0,,,,,,,,,,,False
0.844,PASS_LAST_PILLAR,5.0,67,235,57,80,0,20.0,,,,,,,,,,,False
0.875,PASS_LAST_PILLAR,6.0,67,212,26,80,0,20.0,,,,,,,,,,,False
0.891,PASS_LAST_PILLAR,6.0,67,204,36,80,0,20.0,,,,,,,,,,,False
0.969,PASS_LAST_PILLAR,6.0,67,201,57,80,0,20.0,,,,,,,,,,,False
0.984,PASS_LAST_PILLAR,7.0,66,224,57,80,0,20.0,,,,,,,,,,,False
1.078,PASS_LAST_PILLAR,7.0,66,233,57,80,0,20.0,,,,,,,,,,,False
1.141,PASS_LAST_PILLAR,8.0,67,190,58,80,0,20.0,,,,,,,,,,,False
1.156,PASS_LAST_PILLAR,9.0,68,121,58,80,0,20.0,,,,,,,,,,,False
1.188,PASS_LAST_PILLAR,10.0,71,115,59,80,0,20.0,,,,,,,,,,,False
1.250,PASS_LAST_PILLAR,10.0,65,110,59,80,0,20.0,,,,,,,,,,,False
1.281,PASS_LAST_PILLAR,11.0,67,103,58,80,0,20.0,,,,,,,,,,,False
1.297,PASS_LAST_PILLAR,11.0,69,101,58,80,0,20.0,,,,,,,,,,,False
1.359,PASS_LAST_PILLAR,11.0,68,97,59,80,0,20.0,,,,,,,,,,,False
1.391,PASS_LAST_PILLAR,12.0,71,90,58,80,0,20.0,,,,,,,,,,,False
1.453,PASS_LAST_PILLAR,12.0,71,88,58,80,0,20.0,,,,,,,,,,,False
1.469,PASS_LAST_PILLAR,13.0,72,79,58,80,0,20.0,,,,,,,,,,,False
