elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.359,SEARCH_LAST_PILLAR,0.0,69,246,20,80,0,-30.0,,,,,,,,,,,False
0.453,SEARCH_LAST_PILLAR,0.0,65,247,20,80,0,-30.0,,,,,,,,,,,False
0.531,PASS_LAST_PILLAR,1.0,66,248,20,80,0,-30.0,,,,,,,,,,,False
0.609,PASS_LAST_PILLAR,0.0,65,247,20,80,0,-30.0,,,,,,,,,,,False
0.625,PASS_LAST_PILLAR,-1.0,65,244,20,80,0,-30.0,,,,,,,,,,,False
0.687,PASS_LAST_PILLAR,-2.0,65,243,20,80,0,-30.0,,,,,,,,,,,False
0.719,PASS_LAST_PILLAR,-3.0,64,240,20,80,0,-30.0,,,,,,,,,,,False
0.797,PASS_LAST_PILLAR,-4.0,64,240,21,80,0,-30.0,,,,,,,,,,,False
0.875,PASS_LAST_PILLAR,-5.0,64,140,28,80,0,-30.0,,,,,,,,,,,False
0.891,PASS_LAST_PILLAR,-6.0,63,149,50,80,0,-30.0,,,,,,,,,,,False
0.969,PASS_LAST_PILLAR,-7.0,62,175,51,80,0,-30.0,,,,,,,,,,,False
0.984,PASS_LAST_PILLAR,-9.0,63,192,86,80,0,-30.0,,,,,,,,,,,False
1.016,PASS_LAST_PILLAR,-9.0,66,129,206,80,0,-30.0,,,,,,,,,,,False
1.094,PASS_LAST_PILLAR,-9.0,65,35,226,80,0,-30.0,,,,,,,,,,,False
1.203,PASS_LAST_PILLAR,-11.0,63,31,207,80,0,-30.0,,,,,,,,,,,False
1.266,PASS_LAST_PILLAR,-13.0,56,29,197,80,0,-30.0,,,,,,,,,,,False
1.297,PASS_LAST_PILLAR,-14.0,61,28,233,80,0,-30.0,,,,,,,,,,,False
1.375,PASS_LAST_PILLAR,-15.0,62,28,182,80,0,-30.0,,,,,,,,,,,False
1.406,PASS_LAST_PILLAR,-16.0,62,156,123,80,0,-30.0,,,,,,,,,,,False
1.484,PASS_LAST_PILLAR,-17.0,61,231,118,80,0,-30.0,,,,,,,,,,,False
1.500,PASS_LAST_PILLAR,-18.0,63,220,107,80,0,-30.0,,,,,,,,,,,False
1.578,PASS_LAST_PILLAR,-19.0,60,213,103,80,0,-30.0,,,,,,,,,,,False
1.594,PASS_LAST_PILLAR,-20.0,59,135,94,80,0,-30.0,,,,,,,,,,,False
1.625,PASS_LAST_PILLAR,-20.0,57,134,91,80,0,-30.0,,,,,,,,,,,False
1.687,PASS_LAST_PILLAR,-21.0,57,134,88,80,0,-30.0,,,,,,,,,,,False
1.719,PASS_LAST_PILLAR,-22.0,58,134,80,80,0,-30.0,,,,,,,,,,,False
1.781,PASS_LAST_PILLAR,-22.0,54,134,78,80,0,-30.0,,,,,,,,,,,False
1.812,PASS_LAST_PILLAR,-23.0,57,134,73,80,0,-30.0,,,,,,,,,,,False
1.875,PASS_LAST_PILLAR,-24.0,58,134,69,80,0,-30.0,,,,,,,,,,,False
1.906,PASS_LAST_PILLAR,-25.0,57,132,63,80,0,-30.0,,,,,,,,,,,False
1.969,PASS_LAST_PILLAR,-26.0,61,109,62,80,0,-30.0,,,,,,,,,,,False
1.984,PASS_LAST_PILLAR,-27.0,59,89,56,80,0,-30.0,,,,,,,,,,,False
2.016,PASS_LAST_PILLAR,-28.0,61,89,54,80,0,-30.0,,,,,,,,,,,False
2.078,PASS_LAST_PILLAR,-28.0,61,89,52,80,0,-30.0,,,,,,,,,,,False
2.109,PASS_LAST_PILLAR,-30.0,58,89,48,80,0,-30.0,,,,,,,,,,,False
2.187,PASS_LAST_PILLAR,-30.0,58,89,46,80,0,-30.0,,,,,,,,,,,False
2.203,PASS_LAST_PILLAR,-31.0,59,89,44,80,0,-30.0,,,,,,,,,,,False
2.281,PASS_LAST_PILLAR,-32.0,61,90,42,80,0,-30.0,,,,,,,,,,,False
2.297,PASS_LAST_PILLAR,-33.0,63,90,44,80,0,-30.0,,,,,,,,,,,False
2.312,PASS_LAST_PILLAR,-34.0,57,91,44,80,0,-30.0,,,,,,,,,,,False
2.375,PASS_LAST_PILLAR,-34.0,60,91,45,80,0,-30.0,,,,,,,,,,,False
2.406,PASS_LAST_PILLAR,-35.0,65,91,46,80,0,-30.0,,,,,,,,,,,False
2.469,PASS_LAST_PILLAR,-36.0,58,91,47,80,0,-30.0,,,,,,,,,,,False
2.500,PASS_LAST_PILLAR,-37.0,57,86,49,80,0,-30.0,,,,,,,,,,,False
2.562,PASS_LAST_PILLAR,-38.0,56,84,50,80,0,-30.0,,,,,,,,,,,False
2.594,PASS_LAST_PILLAR,-39.0,58,79,52,80,0,-30.0,,,,,,,,,,,False
2.672,PASS_LAST_PILLAR,-39.0,61,78,53,80,0,-30.0,,,,,,,,,,,False
2.687,PASS_LAST_PILLAR,-41.0,61,74,55,80,0,-30.0,,,,,,,,,,,False
2.719,PASS_LAST_PILLAR,-41.0,63,73,56,80,0,-30.0,,,,,,,,,,,False
2.781,PASS_LAST_PILLAR,-42.0,58,72,57,80,0,-30.0,,,,,,,,,,,False
2.797,PASS_LAST_PILLAR,-43.0,58,69,60,80,0,-30.0,,,,,,,,,,,False
2.875,SEARCH_FIRST_BOUNDARY,-43.0,61,67,60,40,0,13.0,,,,,,,,,,,False
2.891,SEARCH_FIRST_BOUNDARY,-45.0,65,64,64,40,0,15.0,,,,,,,,,,,False
2.984,SEARCH_FIRST_BOUNDARY,-45.0,62,62,65,40,0,15.0,,,,,,,,,,,False
3.000,SEARCH_FIRST_BOUNDARY,-48.0,63,57,13,40,0,18.0,,,,,,,,,,,False
3.078,SEARCH_FIRST_BOUNDARY,-49.0,69,57,13,40,0,19.0,,,,,,,,,,,False
3.109,SEARCH_FIRST_BOUNDARY,-49.0,63,56,13,40,0,19.0,,,,,,,,,,,False
3.187,SEARCH_FIRST_BOUNDARY,-49.0,63,56,13,40,0,19.0,,,,,,,,,,,False
3.219,SEARCH_FIRST_BOUNDARY,-48.0,67,56,13,40,0,18.0,,,,,,,,,,,False
3.297,SEARCH_FIRST_BOUNDARY,-48.0,65,55,12,40,0,18.0,,,,,,,,,,,False
3.375,SEARCH_FIRST_BOUNDARY,-48.0,57,56,12,40,0,18.0,,,,,,,,,,,False
3.391,SEARCH_FIRST_BOUNDARY,-48.0,62,57,11,40,0,18.0,,,,,,,,,,,False
3.469,SEARCH_FIRST_BOUNDARY,-48.0,65,57,11,40,0,18.0,,,,,,,,,,,False
3.500,SEARCH_FIRST_BOUNDARY,-47.0,62,56,11,40,0,17.0,,,,,,,,,,,False
3.516,SEARCH_FIRST_BOUNDARY,-47.0,63,56,11,40,0,17.0,,,,,,,,,,,False
3.609,SEARCH_FIRST_BOUNDARY,-47.0,59,56,11,40,0,17.0,,,,,,,,,,,False
3.672,SEARCH_FIRST_BOUNDARY,-47.0,57,55,12,40,0,17.0,,,,,,,,,,,False
3.703,SEARCH_FIRST_BOUNDARY,-46.0,65,55,12,40,0,16.0,,,,,,,,,,,False
3.766,SEARCH_FIRST_BOUNDARY,-46.0,56,55,12,40,0,16.0,,,,,,,,,,,False
