elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.078,SEARCH_LAST_PILLAR,-6.0,58,286,29,80,0,20.0,-7.64,26.43,0.884,,,,,,,,False
0.141,SEARCH_LAST_PILLAR,-4.0,58,261,31,80,0,20.0,-12.13,27.58,0.882,,,,,,,,False
0.203,PASS_LAST_PILLAR,-6.0,57,284,30,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.235,PASS_LAST_PILLAR,-7.0,57,283,30,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.250,PASS_LAST_PILLAR,-6.0,57,286,29,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.313,PASS_LAST_PILLAR,-6.0,58,286,29,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.328,PASS_LAST_PILLAR,-6.0,57,286,29,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.344,PASS_LAST_PILLAR,-5.0,56,285,29,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.438,PASS_LAST_PILLAR,-5.0,56,285,29,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.500,PASS_LAST_PILLAR,-4.0,57,280,28,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.516,PASS_LAST_PILLAR,-3.0,58,280,27,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.547,PASS_LAST_PILLAR,-2.0,57,280,27,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.594,PASS_LAST_PILLAR,-2.0,57,279,27,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.625,PASS_LAST_PILLAR,-1.0,57,277,26,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.641,PASS_LAST_PILLAR,-1.0,56,273,26,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.703,PASS_LAST_PILLAR,-1.0,57,267,26,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.719,PASS_LAST_PILLAR,0.0,58,262,26,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.735,PASS_LAST_PILLAR,1.0,59,266,26,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.766,PASS_LAST_PILLAR,1.0,57,274,27,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.828,PASS_LAST_PILLAR,1.0,56,280,28,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.844,PASS_LAST_PILLAR,2.0,58,279,31,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.907,PASS_LAST_PILLAR,2.0,57,253,33,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.922,PASS_LAST_PILLAR,3.0,54,181,44,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
0.938,PASS_LAST_PILLAR,4.0,59,146,43,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.000,PASS_LAST_PILLAR,4.0,59,134,40,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.016,PASS_LAST_PILLAR,5.0,57,122,25,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.032,PASS_LAST_PILLAR,5.0,59,120,21,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.094,PASS_LAST_PILLAR,6.0,61,115,20,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.125,PASS_LAST_PILLAR,6.0,55,108,28,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.141,PASS_LAST_PILLAR,7.0,55,105,137,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.157,PASS_LAST_PILLAR,7.0,59,102,151,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.219,PASS_LAST_PILLAR,7.0,60,99,154,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.250,PASS_LAST_PILLAR,8.0,55,93,155,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.297,PASS_LAST_PILLAR,8.0,63,90,153,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.328,PASS_LAST_PILLAR,9.0,61,85,153,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.344,PASS_LAST_PILLAR,10.0,64,84,151,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.391,PASS_LAST_PILLAR,10.0,65,81,151,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.422,PASS_LAST_PILLAR,11.0,67,77,147,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.438,PASS_LAST_PILLAR,11.0,67,76,146,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.500,PASS_LAST_PILLAR,11.0,68,74,145,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.516,PASS_LAST_PILLAR,12.0,68,70,142,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.532,PASS_LAST_PILLAR,12.0,69,68,141,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.563,PASS_LAST_PILLAR,13.0,70,67,139,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.625,PASS_LAST_PILLAR,13.0,70,65,137,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.641,PASS_LAST_PILLAR,14.0,71,62,136,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.703,PASS_LAST_PILLAR,14.0,71,61,134,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.719,PASS_LAST_PILLAR,15.0,72,58,133,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.735,PASS_LAST_PILLAR,15.0,72,56,133,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.797,PASS_LAST_PILLAR,15.0,73,55,132,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
1.813,PASS_LAST_PILLAR,16.0,74,53,130,80,0,20.0,-15.36,23.38,0.855,,,,,,,,False
