elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.344,SEARCH_LAST_PILLAR,0.0,57,241,236,80,0,20.0,-10.99,-0.67,0.951,,,,,,,,False
0.437,SEARCH_LAST_PILLAR,-1.0,57,239,234,80,0,20.0,-11.00,-0.62,0.921,,,,,,,,False
0.531,PASS_LAST_PILLAR,-2.0,57,234,245,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
0.547,PASS_LAST_PILLAR,-1.0,57,237,234,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
0.625,PASS_LAST_PILLAR,0.0,57,236,234,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
0.703,PASS_LAST_PILLAR,1.0,56,237,236,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
0.719,PASS_LAST_PILLAR,2.0,55,237,234,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
0.750,PASS_LAST_PILLAR,2.0,55,237,234,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
0.859,PASS_LAST_PILLAR,2.0,55,235,235,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
0.922,PASS_LAST_PILLAR,3.0,56,234,225,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
0.953,PASS_LAST_PILLAR,5.0,58,203,173,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.031,PASS_LAST_PILLAR,5.0,55,199,168,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.140,PASS_LAST_PILLAR,6.0,54,228,132,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.219,PASS_LAST_PILLAR,7.0,57,233,131,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.250,PASS_LAST_PILLAR,8.0,56,210,131,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.328,PASS_LAST_PILLAR,9.0,57,184,131,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.344,PASS_LAST_PILLAR,10.0,60,123,140,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.422,PASS_LAST_PILLAR,10.0,61,119,141,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.453,PASS_LAST_PILLAR,11.0,62,111,163,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.531,PASS_LAST_PILLAR,11.0,62,108,171,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.547,PASS_LAST_PILLAR,12.0,63,101,213,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.625,PASS_LAST_PILLAR,12.0,64,98,235,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.656,PASS_LAST_PILLAR,13.0,64,91,238,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.734,PASS_LAST_PILLAR,13.0,64,88,239,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.812,PASS_LAST_PILLAR,14.0,65,83,240,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.828,PASS_LAST_PILLAR,15.0,66,78,239,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.906,PASS_LAST_PILLAR,15.0,67,76,239,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.937,PASS_LAST_PILLAR,16.0,68,70,229,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
1.953,PASS_LAST_PILLAR,17.0,68,69,225,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
2.031,PASS_LAST_PILLAR,17.0,68,67,220,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
2.062,PASS_LAST_PILLAR,18.0,69,63,217,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
2.140,PASS_LAST_PILLAR,18.0,69,61,211,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
2.234,PASS_LAST_PILLAR,20.0,71,56,205,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
2.312,PASS_LAST_PILLAR,20.0,73,53,199,80,0,20.0,-9.79,-3.29,0.941,,,,,,,,False
2.328,SEARCH_FIRST_BOUNDARY,21.0,74,49,193,40,0,-25.0,,,,,,,,,,,False
2.359,SEARCH_FIRST_BOUNDARY,22.0,75,48,190,40,0,-25.0,,,,,,,,,,,False
2.437,SEARCH_FIRST_BOUNDARY,22.0,76,46,191,40,0,-25.0,,,,,,,,,,,False
2.515,SEARCH_FIRST_BOUNDARY,24.0,77,41,173,40,0,-25.0,,,,,,,,,,,False
2.547,SEARCH_FIRST_BOUNDARY,25.0,78,41,173,40,0,-25.0,,,,,,,,,,,False
2.640,SEARCH_FIRST_BOUNDARY,25.0,78,41,173,40,0,-25.0,,,,,,,,,,,False
2.719,SEARCH_FIRST_BOUNDARY,25.0,78,41,176,40,0,-25.0,,,,,,,,,,,False
2.750,SEARCH_FIRST_BOUNDARY,24.0,78,41,181,40,0,-25.0,,,,,,,,,,,False
2.828,SEARCH_FIRST_BOUNDARY,24.0,78,41,181,40,0,-25.0,,,,,,,,,,,False
2.859,SEARCH_FIRST_BOUNDARY,24.0,79,42,186,40,0,-25.0,,,,,,,,,,,False
2.953,SEARCH_FIRST_BOUNDARY,24.0,78,42,188,40,0,-25.0,,,,,,,,,,,False
3.031,SEARCH_FIRST_BOUNDARY,23.0,78,42,194,40,0,-25.0,,,,,,,,,,,False
3.125,SEARCH_FIRST_BOUNDARY,23.0,77,43,199,40,0,-25.0,,,,,,,,,,,False
3.156,SEARCH_FIRST_BOUNDARY,22.0,78,43,203,40,0,-25.0,,,,,,,,,,,False
3.234,SEARCH_FIRST_BOUNDARY,22.0,78,43,204,40,0,-25.0,,,,,,,,,,,False
3.328,SEARCH_FIRST_BOUNDARY,21.0,77,44,184,40,0,-25.0,,,,,,,,,,,False
3.422,SEARCH_FIRST_BOUNDARY,21.0,76,44,152,40,0,-25.0,,,,,,,,,,,False
3.515,SEARCH_FIRST_BOUNDARY,20.0,74,45,130,40,0,-25.0,,,,,,,,,,,False
