elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.344,SEARCH_LAST_PILLAR,0.0,57,140,235,80,0,38.0,-35.59,-13.57,0.625,,,,,,,,False
0.453,SEARCH_LAST_PILLAR,0.0,56,144,235,80,0,38.0,-35.42,-13.90,0.632,,,,,,,,False
0.563,PASS_LAST_PILLAR,-2.0,56,233,247,80,0,38.0,-35.67,-13.05,0.642,,,,,,,,False
0.656,PASS_LAST_PILLAR,2.0,57,230,251,80,0,38.0,-35.67,-13.05,0.642,,,,,,,,False
0.688,PASS_LAST_PILLAR,4.0,57,229,234,80,0,38.0,-35.67,-13.05,0.642,,,,,,,,False
0.766,PASS_LAST_PILLAR,5.0,56,232,234,80,0,38.0,-35.67,-13.05,0.642,,,,,,,,False
0.891,PASS_LAST_PILLAR,7.0,57,233,259,80,0,38.0,-35.67,-13.05,0.642,,,,,,,,False
0.985,PASS_LAST_PILLAR,11.0,54,202,143,80,0,38.0,-35.67,-13.05,0.642,,,,,,,,False
1.078,PASS_LAST_PILLAR,13.0,60,233,141,80,0,38.0,-35.67,-13.05,0.642,,,,,,,,False
1.203,PASS_LAST_PILLAR,17.0,63,105,238,80,0,38.0,-35.67,-13.05,0.642,,,,,,,,False
1.281,PASS_LAST_PILLAR,19.0,64,90,28,80,0,38.0,-35.67,-13.05,0.642,,,,,,,,False
1.360,PASS_LAST_PILLAR,22.0,66,77,165,80,0,38.0,-35.67,-13.05,0.642,,,,,,,,False
1.391,SEARCH_FIRST_BOUNDARY,23.0,68,69,166,40,0,-23.0,,,,,,,,,,,False
1.500,SEARCH_FIRST_BOUNDARY,25.0,69,63,167,40,0,-25.0,,,,,,,,,,,False
1.594,SEARCH_FIRST_BOUNDARY,29.0,74,51,134,40,0,-25.0,,,,,,,,,,,False
1.688,SEARCH_FIRST_BOUNDARY,31.0,75,49,139,40,0,-25.0,,,,,,,,,,,False
1.781,SEARCH_FIRST_BOUNDARY,30.0,75,49,134,40,0,-25.0,,,,,,,,,,,False
1.875,SEARCH_FIRST_BOUNDARY,30.0,75,49,146,40,0,-25.0,,,,,,,,,,,False
1.969,SEARCH_FIRST_BOUNDARY,29.0,74,50,151,40,0,-25.0,,,,,,,,,,,False
2.078,SEARCH_FIRST_BOUNDARY,29.0,75,50,155,40,0,-25.0,,,,,,,,,,,False
2.172,SEARCH_FIRST_BOUNDARY,28.0,74,51,158,40,0,-25.0,,,,,,,,,,,False
2.250,SEARCH_FIRST_BOUNDARY,28.0,74,51,165,40,0,-25.0,,,,,,,,,,,False
2.281,SEARCH_FIRST_BOUNDARY,28.0,74,51,168,40,0,-25.0,,,,,,,,,,,False
2.375,SEARCH_FIRST_BOUNDARY,27.0,74,51,169,40,0,-25.0,,,,,,,,,,,False
2.469,SEARCH_FIRST_BOUNDARY,27.0,74,52,174,40,0,-25.0,,,,,,,,,,,False
2.563,SEARCH_FIRST_BOUNDARY,27.0,74,52,178,40,0,-25.0,,,,,,,,,,,False
2.656,SEARCH_FIRST_BOUNDARY,26.0,73,53,185,40,0,-25.0,,,,,,,,,,,False
2.688,SEARCH_FIRST_BOUNDARY,25.0,71,54,189,40,0,-25.0,,,,,,,,,,,False
2.781,SEARCH_FIRST_BOUNDARY,25.0,71,54,191,40,0,-25.0,,,,,,,,,,,False
2.891,SEARCH_FIRST_BOUNDARY,25.0,36,55,200,40,0,-25.0,,,,,,,,,,,False
2.985,SEARCH_FIRST_BOUNDARY,24.0,32,56,206,40,0,-24.0,,,,,,,,,,,False
3.094,SEARCH_FIRST_BOUNDARY,24.0,31,57,213,40,0,-24.0,,,,,,,,,,,False
3.188,SEARCH_FIRST_BOUNDARY,23.0,31,57,217,40,0,-23.0,,,,,,,,,,,False
3.281,SEARCH_FIRST_BOUNDARY,23.0,30,59,149,40,0,-23.0,,,,,,,,,,,False
3.360,SEARCH_FIRST_BOUNDARY,22.0,29,60,128,40,0,-22.0,,,,,,,,,,,False
3.438,SEARCH_FIRST_BOUNDARY,21.0,29,62,128,40,0,-21.0,,,,,,,,,,,False
3.469,SEARCH_FIRST_BOUNDARY,21.0,28,63,130,40,0,-21.0,,,,,,,,,,,False
3.531,SEARCH_FIRST_BOUNDARY,21.0,28,63,147,40,0,-21.0,,,,,,,,,,,False
3.563,SEARCH_FIRST_BOUNDARY,20.0,28,64,214,40,0,-20.0,,,,,,,,,,,False
3.578,SEARCH_FIRST_BOUNDARY,20.0,28,64,232,40,0,-20.0,,,,,,,,,,,False
3.656,SEARCH_FIRST_BOUNDARY,20.0,28,66,233,40,0,-20.0,,,,,,,,,,,False
3.672,SEARCH_FIRST_BOUNDARY,20.0,28,66,232,40,0,-20.0,,,,,,,,,,,False
3.735,SEARCH_FIRST_BOUNDARY,20.0,29,67,234,40,0,-20.0,,,,,,,,,,,False
3.766,SEARCH_FIRST_BOUNDARY,19.0,29,69,232,40,0,-19.0,,,,,,,,,,,False
3.781,SEARCH_FIRST_BOUNDARY,19.0,28,69,232,40,0,-19.0,,,,,,,,,,,False
3.860,SEARCH_FIRST_BOUNDARY,19.0,29,70,232,40,0,-19.0,,,,,,,,,,,False
3.875,SEARCH_FIRST_BOUNDARY,18.0,29,71,231,40,0,-18.0,,,,,,,,,,,False
3.953,SEARCH_FIRST_BOUNDARY,18.0,29,71,231,40,0,-18.0,,,,,,,,,,,False
3.969,SEARCH_FIRST_BOUNDARY,18.0,29,72,229,40,0,-18.0,,,,,,,,,,,False
3.985,SEARCH_FIRST_BOUNDARY,18.0,29,73,230,40,0,-18.0,,,,,,,,,,,False
4.063,SEARCH_FIRST_BOUNDARY,18.0,29,74,230,40,0,-18.0,,,,,,,,,,,False
4.078,SEARCH_FIRST_BOUNDARY,17.0,29,75,229,40,0,-17.0,,,,,,,,,,,False
4.141,SEARCH_FIRST_BOUNDARY,17.0,28,76,229,40,0,-17.0,,,,,,,,,,,False
