elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.281,SEARCH_LAST_PILLAR,,,,,80,0,-30.0,,,,,,,,,,,False
0.375,SEARCH_LAST_PILLAR,0.0,59,242,154,80,0,-30.0,,,,,,,,,,,False
0.453,PASS_LAST_PILLAR,2.0,55,248,173,80,0,-30.0,,,,,,,,,,,False
0.531,PASS_LAST_PILLAR,1.0,56,244,151,80,0,-30.0,,,,,,,,,,,False
0.563,PASS_LAST_PILLAR,-1.0,55,166,235,80,0,-30.0,,,,,,,,,,,False
0.594,PASS_LAST_PILLAR,-2.0,55,81,235,80,0,-30.0,,,,,,,,,,,False
0.688,PASS_LAST_PILLAR,-2.0,55,37,235,80,0,-30.0,,,,,,,,,,,False
0.766,PASS_LAST_PILLAR,-4.0,54,37,235,80,0,-30.0,,,,,,,,,,,False
0.844,PASS_LAST_PILLAR,-6.0,54,35,236,80,0,-30.0,,,,,,,,,,,False
0.859,PASS_LAST_PILLAR,-7.0,54,34,237,80,0,-30.0,,,,,,,,,,,False
0.922,PASS_LAST_PILLAR,-8.0,54,53,238,80,0,-30.0,,,,,,,,,,,False
0.953,PASS_LAST_PILLAR,-9.0,52,231,237,80,0,-30.0,,,,,,,,,,,False
1.031,PASS_LAST_PILLAR,-10.0,53,234,238,80,0,-30.0,,,,,,,,,,,False
1.063,PASS_LAST_PILLAR,-12.0,53,234,240,80,0,-30.0,,,,,,,,,,,False
1.078,PASS_LAST_PILLAR,-12.0,51,232,242,80,0,-30.0,,,,,,,,,,,False
1.156,PASS_LAST_PILLAR,-13.0,52,234,239,80,0,-30.0,,,,,,,,,,,False
1.234,PASS_LAST_PILLAR,-14.0,53,232,197,80,0,-30.0,,,,,,,,,,,False
1.250,PASS_LAST_PILLAR,-15.0,50,236,247,80,0,-30.0,,,,,,,,,,,False
1.266,PASS_LAST_PILLAR,-16.0,50,236,224,80,0,-30.0,,,,,,,,,,,False
1.344,PASS_LAST_PILLAR,-16.0,50,236,162,80,0,-30.0,,,,,,,,,,,False
1.359,PASS_LAST_PILLAR,-18.0,51,195,125,80,0,-30.0,,,,,,,,,,,False
1.438,PASS_LAST_PILLAR,-18.0,50,150,119,80,0,-30.0,,,,,,,,,,,False
1.453,PASS_LAST_PILLAR,-20.0,48,132,106,80,0,-30.0,,,,,,,,,,,False
1.484,PASS_LAST_PILLAR,-21.0,48,132,103,80,0,-30.0,,,,,,,,,,,False
1.563,PASS_LAST_PILLAR,-21.0,53,132,99,80,0,-30.0,,,,,,,,,,,False
1.656,PASS_LAST_PILLAR,-23.0,53,132,89,80,0,-30.0,,,,,,,,,,,False
1.719,PASS_LAST_PILLAR,-24.0,51,114,79,80,0,-30.0,,,,,,,,,,,False
1.750,PASS_LAST_PILLAR,-26.0,50,87,71,80,0,-30.0,,,,,,,,,,,False
1.766,PASS_LAST_PILLAR,-26.0,48,88,68,80,0,-30.0,,,,,,,,,,,False
1.828,PASS_LAST_PILLAR,-27.0,48,88,66,80,0,-30.0,,,,,,,,,,,False
1.859,PASS_LAST_PILLAR,-28.0,47,87,62,80,0,-30.0,,,,,,,,,,,False
1.875,PASS_LAST_PILLAR,-28.0,53,87,59,80,0,-30.0,,,,,,,,,,,False
1.938,PASS_LAST_PILLAR,-29.0,50,88,57,80,0,-30.0,,,,,,,,,,,False
1.953,PASS_LAST_PILLAR,-31.0,49,88,52,80,0,-30.0,,,,,,,,,,,False
2.031,PASS_LAST_PILLAR,-31.0,53,88,49,80,0,-30.0,,,,,,,,,,,False
2.047,PASS_LAST_PILLAR,-32.0,52,88,50,80,0,-30.0,,,,,,,,,,,False
2.078,PASS_LAST_PILLAR,-33.0,50,88,50,80,0,-30.0,,,,,,,,,,,False
2.141,PASS_LAST_PILLAR,-33.0,53,89,51,80,0,-30.0,,,,,,,,,,,False
2.156,PASS_LAST_PILLAR,-35.0,52,88,53,80,0,-30.0,,,,,,,,,,,False
