elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.375,SEARCH_LAST_PILLAR,,,,,80,0,38.0,-33.23,-5.82,0.868,,,,,,,,False
0.485,SEARCH_LAST_PILLAR,0.0,55,241,238,80,0,38.0,-32.91,-6.60,0.871,,,,,,,,False
0.563,PASS_LAST_PILLAR,0.0,55,240,247,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
0.641,PASS_LAST_PILLAR,2.0,56,239,235,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
0.672,PASS_LAST_PILLAR,5.0,54,239,244,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
0.735,PASS_LAST_PILLAR,6.0,54,239,238,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
0.766,PASS_LAST_PILLAR,8.0,53,230,133,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
0.875,PASS_LAST_PILLAR,9.0,55,204,133,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
0.938,PASS_LAST_PILLAR,12.0,54,238,236,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
0.969,PASS_LAST_PILLAR,14.0,52,123,239,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
1.031,PASS_LAST_PILLAR,15.0,56,115,240,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
1.063,PASS_LAST_PILLAR,17.0,60,100,226,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
1.141,PASS_LAST_PILLAR,18.0,60,94,219,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
1.156,PASS_LAST_PILLAR,20.0,62,83,186,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
1.235,PASS_LAST_PILLAR,21.0,64,78,180,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
1.250,PASS_LAST_PILLAR,22.0,64,72,170,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
1.266,PASS_LAST_PILLAR,23.0,65,70,165,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
1.344,PASS_LAST_PILLAR,24.0,66,66,160,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
1.360,PASS_LAST_PILLAR,26.0,68,59,148,80,0,38.0,-30.52,-10.06,0.855,,,,,,,,False
1.438,SEARCH_FIRST_BOUNDARY,27.0,69,57,143,40,0,-25.0,,,,,,,,,,,False
1.469,SEARCH_FIRST_BOUNDARY,29.0,71,50,135,40,0,-25.0,,,,,,,,,,,False
1.547,SEARCH_FIRST_BOUNDARY,30.0,72,49,131,40,0,-25.0,,,,,,,,,,,False
1.578,SEARCH_FIRST_BOUNDARY,32.0,75,42,122,40,0,-25.0,,,,,,,,,,,False
1.656,SEARCH_FIRST_BOUNDARY,35.0,78,41,112,40,0,-25.0,,,,,,,,,,,False
1.735,SEARCH_FIRST_BOUNDARY,35.0,79,40,113,40,0,-25.0,,,,,,,,,,,False
1.766,SEARCH_FIRST_BOUNDARY,35.0,79,40,115,40,0,-25.0,,,,,,,,,,,False
1.844,SEARCH_FIRST_BOUNDARY,35.0,79,40,116,40,0,-25.0,,,,,,,,,,,False
1.875,SEARCH_FIRST_BOUNDARY,34.0,79,40,118,40,0,-25.0,,,,,,,,,,,False
1.953,SEARCH_FIRST_BOUNDARY,34.0,78,40,119,40,0,-25.0,,,,,,,,,,,False
1.985,SEARCH_FIRST_BOUNDARY,34.0,78,40,49,40,0,-25.0,,,,,,,,,,,False
2.063,SEARCH_FIRST_BOUNDARY,34.0,79,40,115,40,0,-25.0,,,,,,,,,,,False
2.156,SEARCH_FIRST_BOUNDARY,33.0,79,40,127,40,0,-25.0,,,,,,,,,,,False
