elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.297,SEARCH_LAST_PILLAR,,,,,80,0,38.0,-28.23,2.02,0.831,,,,,,,,False
0.391,SEARCH_LAST_PILLAR,0.0,57,265,35,80,0,38.0,-28.13,1.63,0.840,,,,,,,,False
0.485,PASS_LAST_PILLAR,-2.0,54,248,4,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
0.563,PASS_LAST_PILLAR,0.0,55,246,33,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
0.641,PASS_LAST_PILLAR,3.0,57,246,29,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
0.750,PASS_LAST_PILLAR,5.0,57,134,33,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
0.828,PASS_LAST_PILLAR,9.0,59,252,33,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
0.906,PASS_LAST_PILLAR,11.0,57,237,32,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
0.922,PASS_LAST_PILLAR,13.0,57,237,33,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
1.000,PASS_LAST_PILLAR,14.0,57,237,33,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
1.016,PASS_LAST_PILLAR,16.0,57,200,32,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
1.047,PASS_LAST_PILLAR,17.0,55,224,32,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
1.110,PASS_LAST_PILLAR,18.0,58,238,32,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
1.235,PASS_LAST_PILLAR,21.0,60,124,32,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
1.313,PASS_LAST_PILLAR,23.0,63,102,32,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
1.344,PASS_LAST_PILLAR,25.0,65,88,32,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
1.406,PASS_LAST_PILLAR,25.0,65,83,32,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
1.422,PASS_LAST_PILLAR,28.0,67,73,32,80,0,38.0,-28.09,1.38,0.837,,,,,,,,False
1.453,SEARCH_FIRST_BOUNDARY,28.0,68,69,32,80,0,38.0,,,,,,,,,,,False
1.531,SEARCH_FIRST_BOUNDARY,29.0,68,67,32,40,0,-1.0,,,,,,,,,,,False
1.625,SEARCH_FIRST_BOUNDARY,31.0,71,58,32,40,0,-3.0,,,,,,,,,,,False
1.703,SEARCH_FIRST_BOUNDARY,34.0,74,49,36,40,0,-6.0,,,,,,,,,,,False
1.735,SEARCH_FIRST_BOUNDARY,36.0,76,46,39,40,0,-8.0,,,,,,,,,,,False
1.813,SEARCH_FIRST_BOUNDARY,37.0,76,46,39,40,0,-9.0,,,,,,,,,,,False
1.828,SEARCH_FIRST_BOUNDARY,37.0,77,45,37,40,0,-9.0,,,,,,,,,,,False
1.860,SEARCH_FIRST_BOUNDARY,37.0,77,45,36,40,0,-9.0,,,,,,,,,,,False
1.938,SEARCH_FIRST_BOUNDARY,37.0,77,45,35,40,0,-9.0,,,,,,,,,,,False
2.031,SEARCH_FIRST_BOUNDARY,37.0,77,44,31,40,0,-9.0,,,,,,,,,,,False
2.125,SEARCH_FIRST_BOUNDARY,37.0,78,43,29,40,0,-9.0,,,,,,,,,,,False
2.203,SEARCH_FIRST_BOUNDARY,37.0,79,42,27,40,0,-9.0,,,,,,,,,,,False
2.235,SEARCH_FIRST_BOUNDARY,37.0,79,42,27,40,0,-9.0,,,,,,,,,,,False
2.313,SEARCH_FIRST_BOUNDARY,37.0,79,41,26,40,0,-9.0,,,,,,,,,,,False
2.344,SEARCH_FIRST_BOUNDARY,37.0,79,41,25,40,0,-9.0,,,,,,,,,,,False
2.422,SEARCH_FIRST_BOUNDARY,37.0,79,41,24,40,0,-9.0,,,,,,,,,,,False
2.438,SEARCH_FIRST_BOUNDARY,37.0,79,40,21,40,0,-9.0,,,,,,,,,,,False
2.531,SEARCH_FIRST_BOUNDARY,37.0,76,40,20,40,0,-9.0,,,,,,,,,,,False
2.610,SEARCH_FIRST_BOUNDARY,38.0,37,39,19,40,0,-10.0,,,,,,,,,,,False
2.641,SEARCH_FIRST_BOUNDARY,38.0,36,38,18,40,0,-10.0,,,,,,,,,,,False
2.719,SEARCH_FIRST_BOUNDARY,38.0,36,38,18,40,0,-10.0,,,,,,,,,,,False
2.750,SEARCH_FIRST_BOUNDARY,38.0,35,37,17,40,0,-10.0,,,,,,,,,,,False
2.828,SEARCH_FIRST_BOUNDARY,38.0,34,37,16,40,0,-10.0,,,,,,,,,,,False
2.922,SEARCH_FIRST_BOUNDARY,38.0,33,36,14,40,0,-10.0,,,,,,,,,,,False
2.938,SEARCH_FIRST_BOUNDARY,38.0,33,36,13,40,0,-10.0,,,,,,,,,,,False
3.031,SEARCH_FIRST_BOUNDARY,38.0,33,36,14,40,0,-10.0,,,,,,,,,,,False
3.110,SEARCH_FIRST_BOUNDARY,38.0,34,35,15,40,0,-10.0,,,,,,,,,,,False
3.141,SEARCH_FIRST_BOUNDARY,38.0,34,34,15,40,0,-10.0,,,,,,,,,,,False
3.219,SEARCH_FIRST_BOUNDARY,38.0,34,34,15,40,0,-10.0,,,,,,,,,,,False
3.313,SEARCH_FIRST_BOUNDARY,38.0,34,34,14,40,0,-10.0,,,,,,,,,,,False
3.344,SEARCH_FIRST_BOUNDARY,38.0,34,33,13,40,0,-10.0,,,,,,,,,,,False
3.422,SEARCH_FIRST_BOUNDARY,38.0,35,33,13,40,0,-10.0,,,,,,,,,,,False
3.500,SEARCH_FIRST_BOUNDARY,38.0,36,32,13,40,0,-10.0,,,,,,,,,,,False
3.531,SEARCH_FIRST_BOUNDARY,38.0,48,32,13,40,0,-10.0,,,,,,,,,,,False
3.547,SEARCH_FIRST_BOUNDARY,38.0,54,32,13,40,0,-10.0,,,,,,,,,,,False
3.641,SEARCH_FIRST_BOUNDARY,38.0,68,32,13,40,0,-10.0,,,,,,,,,,,False
3.719,SEARCH_FIRST_BOUNDARY,38.0,85,31,13,40,0,-10.0,,,,,,,,,,,False
