elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.062,SEARCH_LAST_PILLAR,-4.0,57,292,48,80,0,20.0,-13.55,26.90,0.907,,,,,,,,False
0.125,SEARCH_LAST_PILLAR,-2.0,56,273,54,80,0,-30.0,-17.18,29.00,0.922,,,,,,,,False
0.203,SEARCH_LAST_PILLAR,-4.0,56,290,49,80,0,-30.0,-18.15,23.35,0.864,,,,,,,,False
0.219,SEARCH_LAST_PILLAR,-4.0,57,285,47,80,0,-30.0,-18.15,23.35,0.864,,,,,,,,False
0.297,TRACK_OPENING,-4.0,56,277,48,80,0,-30.0,-17.40,21.82,0.978,,,,,,,,False
0.312,TRACK_OPENING,-2.0,54,290,47,40,0,-25.0,-17.40,21.82,0.978,,,,,,,,False
0.422,TRACK_OPENING,-2.0,56,289,46,40,0,-25.0,-20.84,23.43,0.964,,,,,,,,False
0.484,TRACK_OPENING,-3.0,57,286,41,40,0,-25.0,-21.02,22.66,0.965,,,,,,,,False
0.515,TRACK_OPENING,-4.0,56,286,40,40,0,-25.0,-21.02,22.66,0.965,,,,,,,,False
0.578,TRACK_OPENING,-4.0,58,286,40,40,0,-25.0,-20.06,22.10,0.970,,,,,,,,False
0.594,TRACK_OPENING,-4.0,57,285,40,40,0,-25.0,-20.06,22.10,0.970,,,,,,,,False
0.609,TRACK_OPENING,-5.0,57,285,40,40,0,-25.0,-20.06,22.10,0.970,,,,,,,,False
0.703,TRACK_OPENING,-5.0,57,285,39,40,0,-25.0,-18.87,20.69,0.938,,,,,,,,False
0.719,TRACK_OPENING,-5.0,57,284,40,40,0,-25.0,-18.87,20.69,0.938,,,,,,,,False
0.781,TRACK_OPENING,-5.0,57,283,41,40,0,-25.0,-17.48,19.70,0.939,,,,,,,,False
0.812,TRACK_OPENING,-6.0,57,283,42,40,0,-25.0,-17.48,19.70,0.939,,,,,,,,False
0.828,TRACK_OPENING,-6.0,58,283,42,40,0,-25.0,-17.48,19.70,0.939,,,,,,,,False
0.890,TRACK_OPENING,-6.0,58,282,45,40,0,-25.0,-16.10,18.79,0.976,,,,,,,,False
0.922,TRACK_OPENING,-6.0,57,281,114,40,0,-25.0,-16.10,18.79,0.976,,,,,,,,False
0.984,TRACK_OPENING,-7.0,58,281,140,40,0,-25.0,-14.76,17.94,0.973,,,,,,,,False
1.000,TRACK_OPENING,-7.0,57,279,154,40,0,-25.0,-14.76,17.94,0.973,,,,,,,,False
1.078,TRACK_OPENING,-7.0,57,279,144,40,0,-25.0,-13.48,16.92,0.967,,,,,,,,False
1.109,TRACK_OPENING,-7.0,58,276,128,40,0,-25.0,-13.48,16.92,0.967,,,,,,,,False
1.156,TRACK_OPENING,-8.0,57,274,129,40,0,-25.0,-12.42,15.79,0.940,,,,,,,,False
1.187,TRACK_OPENING,-8.0,57,271,130,40,0,-25.0,-12.42,15.79,0.940,,,,,,,,False
1.203,TRACK_OPENING,-8.0,60,268,139,40,0,-25.0,-12.42,15.79,0.940,,,,,,,,False
1.234,TRACK_OPENING,-8.0,59,264,164,40,0,-25.0,-12.42,15.79,0.940,,,,,,,,False
1.281,TRACK_OPENING,-8.0,59,254,179,40,0,-25.0,-11.25,14.62,0.960,,,,,,,,False
1.312,TRACK_OPENING,-9.0,58,126,217,40,0,-25.0,-11.25,14.62,0.960,,,,,,,,False
1.375,TRACK_OPENING,-9.0,57,63,230,40,0,-25.0,-10.12,13.43,0.974,,,,,,,,False
1.390,TRACK_OPENING,-9.0,57,44,232,40,0,-25.0,-10.12,13.43,0.974,,,,,,,,False
1.422,TRACK_OPENING,-10.0,57,44,232,40,0,-25.0,-10.12,13.43,0.974,,,,,,,,False
1.484,TRACK_OPENING,-10.0,55,44,233,40,0,-25.0,-9.07,12.45,0.946,,,,,,,,False
1.500,TRACK_OPENING,-10.0,56,44,233,40,0,-25.0,-9.07,12.45,0.946,,,,,,,,False
