elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.500,SEARCH_LAST_PILLAR,0.0,60,141,57,80,0,38.0,,,,,,,,,,,False
0.610,SEARCH_LAST_PILLAR,-1.0,59,167,59,80,0,38.0,,,,,,,,,,,False
0.704,PASS_LAST_PILLAR,3.0,59,227,58,80,0,38.0,,,,,,,,,,,False
0.782,PASS_LAST_PILLAR,5.0,64,229,55,80,0,38.0,,,,,,,,,,,False
0.797,PASS_LAST_PILLAR,7.0,60,226,56,80,0,38.0,,,,,,,,,,,False
0.860,PASS_LAST_PILLAR,7.0,60,225,55,80,0,38.0,,,,,,,,,,,False
0.891,PASS_LAST_PILLAR,9.0,61,224,53,80,0,38.0,,,,,,,,,,,False
1.000,PASS_LAST_PILLAR,10.0,63,224,54,80,0,38.0,,,,,,,,,,,False
1.079,PASS_LAST_PILLAR,13.0,63,193,53,80,0,38.0,,,,,,,,,,,False
1.094,PASS_LAST_PILLAR,16.0,65,192,51,80,0,38.0,,,,,,,,,,,False
1.172,PASS_LAST_PILLAR,16.0,65,128,51,80,0,38.0,,,,,,,,,,,False
1.188,PASS_LAST_PILLAR,18.0,66,103,50,80,0,38.0,,,,,,,,,,,False
1.219,SEARCH_FIRST_BOUNDARY,18.0,66,98,50,80,0,38.0,,,,,,,,,,,False
1.329,SEARCH_FIRST_BOUNDARY,19.0,67,91,50,40,0,-1.0,-98.88,23.79,0.906,,,,,,,,False
1.454,SEARCH_FIRST_BOUNDARY,23.0,70,71,49,40,0,-5.0,-98.88,23.79,0.906,,,,,,,,False
1.563,SEARCH_FIRST_BOUNDARY,28.0,73,54,48,40,0,-10.0,-98.88,23.79,0.906,,,,,,,,False
1.735,SEARCH_FIRST_BOUNDARY,28.0,74,53,48,40,0,-10.0,-80.51,68.71,0.770,,,,,,,,False
1.860,TRACK_OPENING,29.0,32,51,48,40,0,-10.0,-71.25,87.74,0.654,,,,,,,,False
1.969,TRACK_OPENING,29.0,31,50,49,40,0,-11.0,-68.37,95.36,0.556,,,,,,,,False
2.125,TRACK_OPENING,29.0,30,49,49,40,0,-11.0,-67.53,96.94,0.473,,,,,,,,False
2.250,TRACK_OPENING,29.0,29,49,49,40,0,-11.0,-68.19,96.54,0.402,,,,,,,,False
2.360,TRACK_OPENING,29.0,30,48,49,40,0,-11.0,-69.53,94.82,0.342,,,,,,,,False
2.485,TRACK_OPENING,29.0,30,47,49,40,0,-11.0,-70.86,92.16,0.290,,,,,,,,False
2.594,TRACK_OPENING,29.0,30,47,49,40,0,-11.0,-72.15,89.76,0.247,,,,,,,,False
2.704,TRACK_OPENING,29.0,31,45,49,40,0,-11.0,-73.61,87.83,0.210,,,,,,,,False
2.829,TRACK_OPENING,29.0,40,45,50,40,0,-11.0,-74.76,86.45,0.178,,,,,,,,False
2.938,TRACK_OPENING,29.0,79,44,50,40,0,-11.0,-75.78,85.04,0.152,,,,,,,,False
3.063,TRACK_OPENING,29.0,79,43,50,40,0,-11.0,-76.44,84.19,0.129,,,,,,,,False
