elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.375,SEARCH_LAST_PILLAR,,,,,80,0,20.0,-25.84,-14.83,0.826,,,,,,,,False
0.500,SEARCH_LAST_PILLAR,0.0,69,238,88,80,0,20.0,-26.04,-14.75,0.864,,,,,,,,False
0.625,PASS_LAST_PILLAR,0.0,68,234,66,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
0.719,PASS_LAST_PILLAR,1.0,70,233,65,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
0.844,PASS_LAST_PILLAR,2.0,69,232,65,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
0.938,PASS_LAST_PILLAR,4.0,68,198,65,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
1.016,PASS_LAST_PILLAR,5.0,66,209,65,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
1.157,PASS_LAST_PILLAR,6.0,67,212,65,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
1.250,PASS_LAST_PILLAR,8.0,71,115,64,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
1.344,PASS_LAST_PILLAR,9.0,72,98,64,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
1.438,PASS_LAST_PILLAR,10.0,73,85,41,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
1.516,PASS_LAST_PILLAR,11.0,74,77,56,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
1.625,PASS_LAST_PILLAR,13.0,75,68,64,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
1.719,PASS_LAST_PILLAR,14.0,76,60,63,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
1.813,PASS_LAST_PILLAR,15.0,77,53,63,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
1.907,PASS_LAST_PILLAR,16.0,78,48,63,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
2.000,PASS_LAST_PILLAR,17.0,79,43,63,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
2.094,PASS_LAST_PILLAR,18.0,80,40,63,80,0,20.0,-24.70,-17.95,0.826,,,,,,,,False
2.204,SEARCH_FIRST_BOUNDARY,20.0,82,35,65,40,0,-25.0,,,,,,,,,,,False
2.297,SEARCH_FIRST_BOUNDARY,21.0,83,31,65,40,0,-25.0,,,,,,,,,,,False
2.422,SEARCH_FIRST_BOUNDARY,23.0,20,25,63,40,0,-25.0,,,,,,,,,,,False
2.563,SEARCH_FIRST_BOUNDARY,24.0,18,24,62,40,0,-25.0,,,,,,,,,,,False
2.657,SEARCH_FIRST_BOUNDARY,24.0,18,25,66,40,0,-25.0,,,,,,,,,,,False
2.688,SEARCH_FIRST_BOUNDARY,23.0,19,25,116,40,0,-25.0,,,,,,,,,,,False
2.782,SEARCH_FIRST_BOUNDARY,23.0,19,25,118,40,0,-25.0,,,,,,,,,,,False
2.875,SEARCH_FIRST_BOUNDARY,22.0,19,25,148,40,0,-25.0,,,,,,,,,,,False
2.969,SEARCH_FIRST_BOUNDARY,22.0,19,25,204,40,0,-25.0,,,,,,,,,,,False
3.063,SEARCH_FIRST_BOUNDARY,21.0,19,25,227,40,0,-25.0,,,,,,,,,,,False
3.157,SEARCH_FIRST_BOUNDARY,21.0,19,26,228,40,0,-25.0,,,,,,,,,,,False
3.250,SEARCH_FIRST_BOUNDARY,21.0,19,26,227,40,0,-25.0,,,,,,,,,,,False
3.344,SEARCH_FIRST_BOUNDARY,20.0,19,26,225,40,0,-25.0,,,,,,,,,,,False
3.375,SEARCH_FIRST_BOUNDARY,20.0,31,26,224,40,0,-25.0,,,,,,,,,,,False
3.454,SEARCH_FIRST_BOUNDARY,20.0,48,27,223,40,0,-25.0,,,,,,,,,,,False
3.485,SEARCH_FIRST_BOUNDARY,19.0,84,27,223,40,0,-25.0,,,,,,,,,,,False
3.563,SEARCH_FIRST_BOUNDARY,19.0,85,27,223,40,0,-25.0,,,,,,,,,,,False
3.672,SEARCH_FIRST_BOUNDARY,19.0,86,27,222,40,0,-25.0,,,,,,,,,,,False
3.750,SEARCH_FIRST_BOUNDARY,18.0,87,28,221,40,0,-25.0,,,,,,,,,,,False
3.844,SEARCH_FIRST_BOUNDARY,18.0,86,28,220,40,0,-25.0,,,,,,,,,,,False
3.891,SEARCH_FIRST_BOUNDARY,17.0,86,28,219,40,0,-25.0,,,,,,,,,,,False
3.969,SEARCH_FIRST_BOUNDARY,17.0,85,28,220,40,0,-25.0,,,,,,,,,,,False
4.047,SEARCH_FIRST_BOUNDARY,17.0,87,29,219,40,0,-25.0,,,,,,,,,,,False
4.157,SEARCH_FIRST_BOUNDARY,16.0,87,30,218,40,0,-25.0,,,,,,,,,,,False
4.188,SEARCH_FIRST_BOUNDARY,16.0,85,30,217,40,0,-25.0,,,,,,,,,,,False
4.266,SEARCH_FIRST_BOUNDARY,16.0,85,30,217,40,0,-25.0,,,,,,,,,,,False
4.297,SEARCH_FIRST_BOUNDARY,15.0,86,31,217,40,0,-25.0,,,,,,,,,,,False
4.375,SEARCH_FIRST_BOUNDARY,15.0,85,31,216,40,0,-25.0,,,,,,,,,,,False
4.485,SEARCH_FIRST_BOUNDARY,15.0,85,32,216,40,0,-25.0,,,,,,,,,,,False
4.579,SEARCH_FIRST_BOUNDARY,14.0,85,33,215,40,0,-25.0,,,,,,,,,,,False
4.672,SEARCH_FIRST_BOUNDARY,13.0,86,34,208,40,0,-25.0,,,,,,,,,,,False
4.688,SEARCH_FIRST_BOUNDARY,13.0,86,35,6,40,0,-25.0,,,,,,,,,,,False
4.782,SEARCH_FIRST_BOUNDARY,13.0,84,35,6,40,0,-25.0,,,,,,,,,,,False
4.875,SEARCH_FIRST_BOUNDARY,12.0,84,37,6,40,0,-25.0,,,,,,,,,,,False
4.969,SEARCH_FIRST_BOUNDARY,12.0,84,39,6,40,0,-25.0,,,,,,,,,,,False
5.063,SEARCH_FIRST_BOUNDARY,11.0,85,40,6,40,0,-25.0,,,,,,,,,,,False
5.157,SEARCH_FIRST_BOUNDARY,11.0,84,41,9,40,0,-25.0,,,,,,,,,,,False
5.250,SEARCH_FIRST_BOUNDARY,10.0,84,43,6,40,0,-25.0,,,,,,,,,,,False
5.344,SEARCH_FIRST_BOUNDARY,9.0,85,46,6,40,0,-25.0,,,,,,,,,,,False
5.438,SEARCH_FIRST_BOUNDARY,9.0,85,48,6,40,0,-25.0,,,,,,,,,,,False
5.485,SEARCH_FIRST_BOUNDARY,9.0,84,51,6,40,0,-25.0,,,,,,,,,,,False
5.563,SEARCH_FIRST_BOUNDARY,8.0,84,51,6,40,0,-25.0,,,,,,,,,,,False
5.579,SEARCH_FIRST_BOUNDARY,8.0,84,54,6,40,0,-25.0,,,,,,,,,,,False
5.672,SEARCH_FIRST_BOUNDARY,8.0,84,55,6,40,0,-25.0,,,,,,,,,,,False
5.766,SEARCH_FIRST_BOUNDARY,7.0,84,58,5,40,0,-25.0,,,,,,,,,,,False
5.860,SEARCH_FIRST_BOUNDARY,7.0,84,61,6,40,0,-25.0,,,,,,,,,,,False
5.954,SEARCH_FIRST_BOUNDARY,6.0,84,66,5,40,0,-25.0,,,,,,,,,,,False
6.047,SEARCH_FIRST_BOUNDARY,6.0,83,70,5,60,1,40.0,,,,,,,,,,,False
6.141,SEARCH_FIRST_BOUNDARY,5.0,84,87,5,60,1,40.0,,,,,,,,,,,False
6.188,SEARCH_FIRST_BOUNDARY,3.0,83,157,6,60,1,40.0,,,,,,,,,,,False
6.266,SEARCH_FIRST_BOUNDARY,1.0,84,145,6,60,1,40.0,,,,,,,,,,,False
6.297,SEARCH_FIRST_BOUNDARY,0.0,83,179,6,60,1,40.0,,,,,,,,,,,False
6.375,SEARCH_FIRST_BOUNDARY,0.0,82,180,6,60,1,40.0,,,,,,,,,,,False
6.454,SEARCH_FIRST_BOUNDARY,-2.0,83,181,7,60,1,40.0,,,,,,,,,,,False
