elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.062,SEARCH_LAST_PILLAR,-3.0,49,290,242,80,0,20.0,-9.88,17.36,0.851,,,,,,,,False
0.141,SEARCH_LAST_PILLAR,-2.0,51,237,239,80,0,20.0,-13.37,18.27,0.900,,,,,,,,False
0.156,SEARCH_LAST_PILLAR,-3.0,51,221,243,80,0,20.0,-13.37,18.27,0.900,,,,,,,,False
0.219,PASS_LAST_PILLAR,-4.0,50,227,243,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.250,PASS_LAST_PILLAR,-4.0,49,219,243,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.266,PASS_LAST_PILLAR,-3.0,49,217,242,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.312,PASS_LAST_PILLAR,-3.0,50,229,242,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.344,PASS_LAST_PILLAR,-2.0,49,245,242,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.359,PASS_LAST_PILLAR,-2.0,47,250,242,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.437,PASS_LAST_PILLAR,-2.0,50,251,242,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.469,PASS_LAST_PILLAR,-1.0,50,252,241,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.516,PASS_LAST_PILLAR,-1.0,49,249,239,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.547,PASS_LAST_PILLAR,0.0,48,202,231,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.562,PASS_LAST_PILLAR,0.0,51,177,228,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.625,PASS_LAST_PILLAR,1.0,49,162,221,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.641,PASS_LAST_PILLAR,1.0,49,141,207,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.656,PASS_LAST_PILLAR,1.0,50,137,202,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.719,PASS_LAST_PILLAR,2.0,51,134,201,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.734,PASS_LAST_PILLAR,2.0,55,129,197,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.750,PASS_LAST_PILLAR,2.0,52,125,193,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.812,PASS_LAST_PILLAR,3.0,51,123,190,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.828,PASS_LAST_PILLAR,3.0,55,118,184,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.844,PASS_LAST_PILLAR,4.0,48,116,184,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.906,PASS_LAST_PILLAR,4.0,54,113,178,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.922,PASS_LAST_PILLAR,5.0,50,108,176,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
0.953,PASS_LAST_PILLAR,5.0,53,107,172,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.016,PASS_LAST_PILLAR,5.0,51,104,170,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.062,PASS_LAST_PILLAR,6.0,58,98,167,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.109,PASS_LAST_PILLAR,6.0,54,97,165,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.125,PASS_LAST_PILLAR,7.0,56,92,162,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.156,PASS_LAST_PILLAR,7.0,54,91,159,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.203,PASS_LAST_PILLAR,8.0,56,89,159,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.234,PASS_LAST_PILLAR,8.0,57,85,157,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.250,PASS_LAST_PILLAR,8.0,58,84,155,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.312,PASS_LAST_PILLAR,9.0,60,81,153,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.328,PASS_LAST_PILLAR,9.0,61,78,150,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.344,PASS_LAST_PILLAR,10.0,62,77,149,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.406,PASS_LAST_PILLAR,10.0,62,75,148,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
1.437,PASS_LAST_PILLAR,11.0,63,72,145,80,0,20.0,-13.31,17.56,0.892,,,,,,,,False
