elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.312,SEARCH_LAST_PILLAR,-1.0,67,249,218,80,0,20.0,,,,,,,,,,,False
0.422,SEARCH_LAST_PILLAR,0.0,67,249,218,80,0,20.0,,,,,,,,,,,False
0.516,PASS_LAST_PILLAR,-2.0,67,256,216,80,0,20.0,,,,,,,,,,,False
0.594,PASS_LAST_PILLAR,-1.0,69,249,188,80,0,20.0,,,,,,,,,,,False
0.672,PASS_LAST_PILLAR,0.0,67,246,220,80,0,20.0,,,,,,,,,,,False
0.687,PASS_LAST_PILLAR,1.0,67,244,221,80,0,20.0,,,,,,,,,,,False
0.719,PASS_LAST_PILLAR,1.0,67,242,222,80,0,20.0,,,,,,,,,,,False
0.781,PASS_LAST_PILLAR,1.0,66,236,221,80,0,20.0,,,,,,,,,,,False
0.812,PASS_LAST_PILLAR,2.0,66,219,223,80,0,20.0,,,,,,,,,,,False
0.891,PASS_LAST_PILLAR,3.0,66,212,223,80,0,20.0,,,,,,,,,,,False
0.906,PASS_LAST_PILLAR,3.0,65,237,226,80,0,20.0,,,,,,,,,,,False
0.969,PASS_LAST_PILLAR,3.0,66,244,226,80,0,20.0,,,,,,,,,,,False
1.000,PASS_LAST_PILLAR,4.0,65,204,224,80,0,20.0,,,,,,,,,,,False
1.078,PASS_LAST_PILLAR,5.0,66,176,224,80,0,20.0,,,,,,,,,,,False
1.187,PASS_LAST_PILLAR,6.0,67,123,224,80,0,20.0,,,,,,,,,,,False
1.203,PASS_LAST_PILLAR,7.0,66,112,224,80,0,20.0,,,,,,,,,,,False
1.281,PASS_LAST_PILLAR,7.0,65,108,224,80,0,20.0,,,,,,,,,,,False
1.297,PASS_LAST_PILLAR,8.0,70,100,224,80,0,20.0,,,,,,,,,,,False
1.375,PASS_LAST_PILLAR,8.0,65,96,225,80,0,20.0,,,,,,,,,,,False
1.406,PASS_LAST_PILLAR,9.0,65,87,225,80,0,20.0,,,,,,,,,,,False
1.469,PASS_LAST_PILLAR,9.0,64,85,225,80,0,20.0,,,,,,,,,,,False
1.500,PASS_LAST_PILLAR,10.0,67,77,225,80,0,20.0,,,,,,,,,,,False
1.516,PASS_LAST_PILLAR,11.0,65,75,225,80,0,20.0,,,,,,,,,,,False
1.594,PASS_LAST_PILLAR,11.0,70,73,225,80,0,20.0,,,,,,,,,,,False
1.625,PASS_LAST_PILLAR,12.0,71,67,225,80,0,20.0,,,,,,,,,,,False
1.687,PASS_LAST_PILLAR,12.0,73,65,225,80,0,20.0,,,,,,,,,,,False
1.719,PASS_LAST_PILLAR,13.0,74,60,220,80,0,20.0,,,,,,,,,,,False
1.781,PASS_LAST_PILLAR,14.0,75,58,217,80,0,20.0,,,,,,,,,,,False
1.812,PASS_LAST_PILLAR,14.0,75,54,208,80,0,20.0,,,,,,,,,,,False
1.875,PASS_LAST_PILLAR,15.0,76,53,205,80,0,20.0,,,,,,,,,,,False
1.891,PASS_LAST_PILLAR,16.0,77,49,195,80,0,20.0,,,,,,,,,,,False
1.922,PASS_LAST_PILLAR,16.0,77,48,193,80,0,20.0,,,,,,,,,,,False
1.984,PASS_LAST_PILLAR,16.0,78,47,191,80,0,20.0,,,,,,,,,,,False
2.000,PASS_LAST_PILLAR,17.0,78,44,187,80,0,20.0,,,,,,,,,,,False
2.016,PASS_LAST_PILLAR,17.0,79,43,185,80,0,20.0,,,,,,,,,,,False
2.078,PASS_LAST_PILLAR,17.0,79,42,182,80,0,20.0,,,,,,,,,,,False
2.109,PASS_LAST_PILLAR,18.0,80,40,53,80,0,20.0,,,,,,,,,,,False
2.172,PASS_LAST_PILLAR,18.0,80,39,36,80,0,20.0,,,,,,,,,,,False
2.187,PASS_LAST_PILLAR,19.0,81,36,165,80,0,20.0,,,,,,,,,,,False
2.219,PASS_LAST_PILLAR,19.0,82,35,168,80,0,20.0,,,,,,,,,,,False
2.281,PASS_LAST_PILLAR,20.0,82,33,170,80,0,20.0,,,,,,,,,,,False
2.297,PASS_LAST_PILLAR,20.0,83,32,169,80,0,20.0,,,,,,,,,,,False
2.312,PASS_LAST_PILLAR,21.0,83,31,167,80,0,20.0,,,,,,,,,,,False
2.375,PASS_LAST_PILLAR,21.0,84,30,166,80,0,20.0,,,,,,,,,,,False
2.391,PASS_LAST_PILLAR,22.0,84,28,163,80,0,20.0,,,,,,,,,,,False
2.406,SEARCH_FIRST_BOUNDARY,22.0,85,27,162,40,0,-25.0,,,,,,,,,,,False
2.484,SEARCH_FIRST_BOUNDARY,22.0,85,26,161,40,0,-25.0,,,,,,,,,,,False
2.500,SEARCH_FIRST_BOUNDARY,23.0,86,24,158,40,0,-25.0,,,,,,,,,,,False
2.578,SEARCH_FIRST_BOUNDARY,23.0,88,24,152,40,0,-25.0,,,,,,,,,,,False
2.609,SEARCH_FIRST_BOUNDARY,25.0,90,22,148,40,0,-25.0,,,,,,,,,,,False
2.672,SEARCH_FIRST_BOUNDARY,25.0,90,22,149,40,0,-25.0,,,,,,,,,,,False
2.703,SEARCH_FIRST_BOUNDARY,25.0,89,22,152,40,0,-25.0,,,,,,,,,,,False
2.719,SEARCH_FIRST_BOUNDARY,25.0,89,22,153,40,0,-25.0,,,,,,,,,,,False
2.781,SEARCH_FIRST_BOUNDARY,25.0,89,22,153,40,0,-25.0,,,,,,,,,,,False
2.797,SEARCH_FIRST_BOUNDARY,24.0,89,22,156,40,0,-25.0,,,,,,,,,,,False
2.812,SEARCH_FIRST_BOUNDARY,24.0,89,22,157,40,0,-25.0,,,,,,,,,,,False
2.891,SEARCH_FIRST_BOUNDARY,24.0,89,22,158,40,0,-25.0,,,,,,,,,,,False
2.906,SEARCH_FIRST_BOUNDARY,24.0,89,21,162,40,0,-25.0,,,,,,,,,,,False
2.984,SEARCH_FIRST_BOUNDARY,23.0,89,22,163,40,0,-25.0,,,,,,,,,,,False
3.000,SEARCH_FIRST_BOUNDARY,23.0,89,22,166,40,0,-25.0,,,,,,,,,,,False
3.062,SEARCH_FIRST_BOUNDARY,23.0,89,22,168,40,0,-25.0,,,,,,,,,,,False
3.078,SEARCH_FIRST_BOUNDARY,23.0,89,22,173,40,0,-25.0,,,,,,,,,,,False
3.156,SEARCH_FIRST_BOUNDARY,22.0,89,21,173,40,0,-25.0,,,,,,,,,,,False
3.172,SEARCH_FIRST_BOUNDARY,22.0,89,22,175,40,0,-25.0,,,,,,,,,,,False
3.187,SEARCH_FIRST_BOUNDARY,22.0,88,22,179,40,0,-25.0,,,,,,,,,,,False
3.219,SEARCH_FIRST_BOUNDARY,22.0,89,21,180,40,0,-25.0,,,,,,,,,,,False
3.297,SEARCH_FIRST_BOUNDARY,22.0,88,21,180,40,0,-25.0,,,,,,,,,,,False
3.312,SEARCH_FIRST_BOUNDARY,21.0,88,22,185,40,0,-25.0,,,,,,,,,,,False
3.375,SEARCH_FIRST_BOUNDARY,21.0,88,22,186,40,0,-25.0,,,,,,,,,,,False
3.406,SEARCH_FIRST_BOUNDARY,21.0,88,22,184,40,0,-25.0,,,,,,,,,,,False
3.469,SEARCH_FIRST_BOUNDARY,21.0,88,22,184,40,0,-25.0,,,,,,,,,,,False
3.484,SEARCH_FIRST_BOUNDARY,20.0,88,22,59,40,0,-25.0,,,,,,,,,,,False
3.516,SEARCH_FIRST_BOUNDARY,20.0,88,22,57,40,0,-25.0,,,,,,,,,,,False
3.578,SEARCH_FIRST_BOUNDARY,20.0,88,22,55,40,0,-25.0,,,,,,,,,,,False
3.594,SEARCH_FIRST_BOUNDARY,20.0,88,22,55,40,0,-25.0,,,,,,,,,,,False
3.609,SEARCH_FIRST_BOUNDARY,20.0,88,22,55,40,0,-25.0,,,,,,,,,,,False
3.687,SEARCH_FIRST_BOUNDARY,20.0,88,23,55,40,0,-25.0,,,,,,,,,,,False
3.703,SEARCH_FIRST_BOUNDARY,19.0,88,22,56,40,0,-25.0,,,,,,,,,,,False
3.781,SEARCH_FIRST_BOUNDARY,19.0,88,23,56,40,0,-25.0,,,,,,,,,,,False
3.797,SEARCH_FIRST_BOUNDARY,19.0,88,23,56,40,0,-25.0,,,,,,,,,,,False
3.875,SEARCH_FIRST_BOUNDARY,19.0,88,23,56,40,0,-25.0,,,,,,,,,,,False
3.891,SEARCH_FIRST_BOUNDARY,18.0,87,23,65,40,0,-25.0,,,,,,,,,,,False
