elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.328,SEARCH_LAST_PILLAR,,,,,80,0,38.0,-25.25,-4.78,0.565,,,,,,,,False
0.484,SEARCH_LAST_PILLAR,0.0,51,185,32,80,0,38.0,-25.45,-5.03,0.600,,,,,,,,False
0.594,PASS_LAST_PILLAR,-1.0,50,173,29,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
0.672,PASS_LAST_PILLAR,3.0,50,239,26,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
0.687,PASS_LAST_PILLAR,4.0,54,233,31,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
0.765,PASS_LAST_PILLAR,5.0,52,237,32,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
0.781,PASS_LAST_PILLAR,7.0,51,237,32,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
0.890,PASS_LAST_PILLAR,8.0,50,237,32,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
0.969,PASS_LAST_PILLAR,10.0,50,238,31,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.047,PASS_LAST_PILLAR,12.0,50,214,31,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.062,PASS_LAST_PILLAR,15.0,50,239,31,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.094,PASS_LAST_PILLAR,15.0,51,195,30,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.203,PASS_LAST_PILLAR,17.0,55,124,30,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.265,PASS_LAST_PILLAR,19.0,56,109,30,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.344,PASS_LAST_PILLAR,21.0,59,95,30,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.359,PASS_LAST_PILLAR,23.0,61,85,30,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.437,PASS_LAST_PILLAR,24.0,61,81,30,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.469,PASS_LAST_PILLAR,26.0,63,72,30,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.484,PASS_LAST_PILLAR,27.0,63,69,30,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.562,PASS_LAST_PILLAR,27.0,64,67,30,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.594,PASS_LAST_PILLAR,29.0,66,60,31,80,0,38.0,-23.54,-6.69,0.600,,,,,,,,False
1.656,SEARCH_FIRST_BOUNDARY,30.0,67,58,31,40,0,-25.0,,,,,,,,,,,False
1.687,SEARCH_FIRST_BOUNDARY,32.0,69,55,31,40,0,-25.0,,,,,,,,,,,False
