elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.453,SEARCH_LAST_PILLAR,-1.0,65,253,161,80,0,-38.0,,,,,,,,,,,False
0.563,SEARCH_LAST_PILLAR,0.0,66,230,126,80,0,-38.0,,,,,,,,,,,False
0.657,PASS_LAST_PILLAR,-2.0,64,248,225,80,0,-38.0,,,,,,,,,,,False
0.719,PASS_LAST_PILLAR,-5.0,64,144,227,80,0,-38.0,,,,,,,,,,,False
0.797,PASS_LAST_PILLAR,-7.0,62,49,231,80,0,-38.0,,,,,,,,,,,False
0.907,PASS_LAST_PILLAR,-9.0,60,42,80,80,0,-38.0,,,,,,,,,,,False
0.985,SEARCH_FIRST_BOUNDARY,-12.0,61,41,239,40,0,-9.0,,,,,,,,,,,False
1.078,SEARCH_FIRST_BOUNDARY,-15.0,60,249,172,40,0,-6.0,2.07,-6.56,0.536,,,,,,,,False
1.250,SEARCH_FIRST_BOUNDARY,-19.0,60,146,150,40,0,-2.0,5.05,-7.44,0.600,,,,,,,,False
1.328,TRACK_OPENING,-20.0,62,145,130,40,0,-2.0,7.64,-9.88,0.562,,,,,,,,False
1.453,TRACK_OPENING,-21.0,64,145,124,40,0,0.0,9.19,-12.30,0.600,,,,,,,,False
1.532,TRACK_OPENING,-21.0,55,145,121,40,0,0.0,10.13,-13.72,0.580,,,,,,,,False
1.657,TRACK_OPENING,-21.0,60,145,117,40,0,0.0,10.84,-15.44,0.600,,,,,,,,False
1.750,TRACK_OPENING,-22.0,58,144,114,40,0,1.0,11.27,-17.03,0.600,,,,,,,,False
1.844,TRACK_OPENING,-22.0,60,144,111,40,0,1.0,11.44,-18.44,0.625,,,,,,,,False
1.938,TRACK_OPENING,-22.0,57,143,109,40,0,1.0,11.76,-19.73,0.594,,,,,,,,False
2.016,TRACK_OPENING,-22.0,62,143,105,40,0,1.0,12.08,-20.88,0.607,,,,,,,,False
2.110,TRACK_OPENING,-22.0,62,142,104,40,0,1.0,12.39,-22.22,0.655,,,,,,,,False
2.188,TRACK_OPENING,-23.0,59,142,102,40,0,2.0,12.38,-23.01,0.722,,,,,,,,False
2.282,TRACK_OPENING,-23.0,62,141,100,40,0,2.0,12.80,-24.43,0.704,,,,,,,,False
2.297,TRACK_OPENING,-23.0,52,141,98,40,0,2.0,12.80,-24.43,0.704,,,,,,,,False
2.375,TRACK_OPENING,-23.0,63,141,97,40,0,2.0,12.91,-25.66,0.652,,,,,,,,False
2.453,TRACK_OPENING,-23.0,60,140,95,40,0,2.0,13.06,-27.24,0.705,,,,,,,,False
2.485,TRACK_OPENING,-23.0,58,140,93,40,0,2.0,13.06,-27.24,0.705,,,,,,,,False
2.500,TRACK_OPENING,-23.0,58,139,92,40,0,2.0,13.06,-27.24,0.705,,,,,,,,False
2.578,TRACK_OPENING,-24.0,59,140,92,40,0,3.0,13.17,-28.58,0.777,,,,,,,,False
2.672,TRACK_OPENING,-24.0,56,138,90,40,0,3.0,13.44,-30.29,0.789,,,,,,,,False
2.703,TRACK_OPENING,-24.0,56,133,87,40,0,3.0,13.44,-30.29,0.789,,,,,,,,False
2.782,TRACK_OPENING,-24.0,54,131,86,40,0,3.0,13.62,-31.98,0.778,,,,,,,,False
2.860,TRACK_OPENING,-24.0,57,124,73,40,0,3.0,13.79,-33.54,0.771,,,,,,,,False
2.891,TRACK_OPENING,-24.0,58,118,57,40,0,3.0,13.79,-33.54,0.771,,,,,,,,False
2.969,TRACK_OPENING,-24.0,58,118,54,40,0,3.0,14.00,-35.32,0.811,,,,,,,,False
2.985,TRACK_OPENING,-24.0,52,113,53,40,0,3.0,14.00,-35.32,0.811,,,,,,,,False
3.063,TRACK_OPENING,-24.0,53,109,52,40,0,3.0,13.98,-36.83,0.771,,,,,,,,False
3.094,TRACK_OPENING,-24.0,56,105,52,40,0,3.0,13.98,-36.83,0.771,,,,,,,,False
3.172,TRACK_OPENING,-24.0,59,101,52,40,0,3.0,14.28,-38.76,0.811,,,,,,,,False
3.250,TRACK_OPENING,-25.0,56,98,52,40,0,4.0,14.33,-40.19,0.809,,,,,,,,False
