elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.297,SEARCH_LAST_PILLAR,0.0,68,241,218,80,0,20.0,,,,,,,,,,,False
0.407,SEARCH_LAST_PILLAR,0.0,74,242,219,80,0,20.0,,,,,,,,,,,False
0.500,PASS_LAST_PILLAR,-1.0,72,242,221,80,0,20.0,,,,,,,,,,,False
0.563,PASS_LAST_PILLAR,-1.0,72,239,215,80,0,20.0,,,,,,,,,,,False
0.641,PASS_LAST_PILLAR,0.0,72,238,153,80,0,20.0,,,,,,,,,,,False
0.672,PASS_LAST_PILLAR,1.0,76,237,107,80,0,20.0,,,,,,,,,,,False
0.750,PASS_LAST_PILLAR,1.0,74,237,95,80,0,20.0,,,,,,,,,,,False
0.766,PASS_LAST_PILLAR,2.0,73,236,82,80,0,20.0,,,,,,,,,,,False
0.844,PASS_LAST_PILLAR,2.0,72,235,77,80,0,20.0,,,,,,,,,,,False
0.875,PASS_LAST_PILLAR,3.0,72,223,67,80,0,20.0,,,,,,,,,,,False
0.938,PASS_LAST_PILLAR,4.0,71,214,67,80,0,20.0,,,,,,,,,,,False
0.969,PASS_LAST_PILLAR,4.0,72,194,61,80,0,20.0,,,,,,,,,,,False
1.047,PASS_LAST_PILLAR,5.0,72,199,36,80,0,20.0,,,,,,,,,,,False
1.157,PASS_LAST_PILLAR,6.0,71,230,38,80,0,20.0,,,,,,,,,,,False
1.188,PASS_LAST_PILLAR,7.0,70,169,58,80,0,20.0,,,,,,,,,,,False
1.282,PASS_LAST_PILLAR,7.0,70,149,60,80,0,20.0,,,,,,,,,,,False
1.360,PASS_LAST_PILLAR,8.0,73,104,62,80,0,20.0,,,,,,,,,,,False
1.422,PASS_LAST_PILLAR,9.0,74,93,61,80,0,20.0,,,,,,,,,,,False
1.453,PASS_LAST_PILLAR,10.0,75,84,61,80,0,20.0,,,,,,,,,,,False
1.532,PASS_LAST_PILLAR,10.0,75,81,61,80,0,20.0,,,,,,,,,,,False
1.547,PASS_LAST_PILLAR,11.0,76,74,61,80,0,20.0,,,,,,,,,,,False
1.578,PASS_LAST_PILLAR,11.0,76,71,61,80,0,20.0,,,,,,,,,,,False
1.641,PASS_LAST_PILLAR,12.0,77,69,61,80,0,20.0,,,,,,,,,,,False
1.672,PASS_LAST_PILLAR,13.0,77,64,60,80,0,20.0,,,,,,,,,,,False
1.750,PASS_LAST_PILLAR,13.0,77,62,60,80,0,20.0,,,,,,,,,,,False
1.766,PASS_LAST_PILLAR,14.0,78,57,60,80,0,20.0,,,,,,,,,,,False
1.828,PASS_LAST_PILLAR,14.0,78,54,60,80,0,20.0,,,,,,,,,,,False
1.860,PASS_LAST_PILLAR,14.0,79,52,60,80,0,20.0,,,,,,,,,,,False
1.922,PASS_LAST_PILLAR,15.0,79,51,60,80,0,20.0,,,,,,,,,,,False
1.953,PASS_LAST_PILLAR,16.0,80,46,61,80,0,20.0,,,,,,,,,,,False
1.969,PASS_LAST_PILLAR,16.0,80,45,61,80,0,20.0,,,,,,,,,,,False
2.032,PASS_LAST_PILLAR,16.0,80,43,60,80,0,20.0,,,,,,,,,,,False
2.063,PASS_LAST_PILLAR,17.0,81,39,62,80,0,20.0,,,,,,,,,,,False
2.141,SEARCH_FIRST_BOUNDARY,17.0,81,38,62,40,0,-25.0,,,,,,,,,,,False
2.157,SEARCH_FIRST_BOUNDARY,18.0,82,36,62,40,0,-25.0,,,,,,,,,,,False
2.250,SEARCH_FIRST_BOUNDARY,18.0,83,35,62,40,0,-25.0,,,,,,,,,,,False
2.266,SEARCH_FIRST_BOUNDARY,21.0,85,28,59,40,0,-25.0,,,,,,,,,,,False
2.360,SEARCH_FIRST_BOUNDARY,22.0,85,27,59,40,0,-25.0,,,,,,,,,,,False
2.375,SEARCH_FIRST_BOUNDARY,21.0,85,28,59,40,0,-25.0,,,,,,,,,,,False
2.453,SEARCH_FIRST_BOUNDARY,21.0,85,28,60,40,0,-25.0,,,,,,,,,,,False
