elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.328,SEARCH_LAST_PILLAR,,,,,80,0,38.0,-23.01,-18.40,0.844,,,,,,,,False
0.422,SEARCH_LAST_PILLAR,-1.0,65,229,215,80,0,38.0,-22.81,-18.64,0.830,,,,,,,,False
0.516,PASS_LAST_PILLAR,-3.0,66,234,224,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
0.578,PASS_LAST_PILLAR,-1.0,65,234,224,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
0.609,PASS_LAST_PILLAR,1.0,71,232,224,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
0.719,PASS_LAST_PILLAR,2.0,68,233,223,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
0.797,PASS_LAST_PILLAR,5.0,65,199,227,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
0.812,PASS_LAST_PILLAR,7.0,65,231,224,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
0.891,PASS_LAST_PILLAR,7.0,66,202,223,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
0.906,PASS_LAST_PILLAR,10.0,68,103,217,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
0.937,PASS_LAST_PILLAR,10.0,69,98,167,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
1.000,PASS_LAST_PILLAR,11.0,70,89,126,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
1.031,PASS_LAST_PILLAR,14.0,72,73,132,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
1.141,PASS_LAST_PILLAR,15.0,73,65,226,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
1.219,PASS_LAST_PILLAR,17.0,74,55,229,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
1.297,PASS_LAST_PILLAR,19.0,76,48,208,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
1.312,PASS_LAST_PILLAR,22.0,79,40,180,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
1.391,PASS_LAST_PILLAR,23.0,79,37,177,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
1.422,PASS_LAST_PILLAR,25.0,82,32,163,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
1.484,PASS_LAST_PILLAR,26.0,83,31,160,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
1.516,PASS_LAST_PILLAR,27.0,85,28,154,80,0,38.0,-21.19,-21.01,0.813,,,,,,,,False
1.594,SEARCH_FIRST_BOUNDARY,28.0,85,26,151,40,0,-25.0,,,,,,,,,,,False
1.609,SEARCH_FIRST_BOUNDARY,30.0,89,23,143,40,0,-25.0,,,,,,,,,,,False
1.641,SEARCH_FIRST_BOUNDARY,31.0,90,22,140,40,0,-25.0,,,,,,,,,,,False
1.734,SEARCH_FIRST_BOUNDARY,31.0,91,20,138,40,0,-25.0,,,,,,,,,,,False
1.812,SEARCH_FIRST_BOUNDARY,36.0,96,18,122,40,0,-25.0,,,,,,,,,,,False
1.891,SEARCH_FIRST_BOUNDARY,36.0,96,18,124,40,0,-25.0,,,,,,,,,,,False
1.922,SEARCH_FIRST_BOUNDARY,35.0,94,17,126,40,0,-25.0,,,,,,,,,,,False
2.000,SEARCH_FIRST_BOUNDARY,35.0,92,16,127,40,0,-25.0,,,,,,,,,,,False
2.094,SEARCH_FIRST_BOUNDARY,35.0,81,17,129,40,0,-25.0,,,,,,,,,,,False
2.109,SEARCH_FIRST_BOUNDARY,34.0,27,16,131,40,0,-25.0,,,,,,,,,,,False
2.203,SEARCH_FIRST_BOUNDARY,34.0,25,16,131,40,0,-25.0,,,,,,,,,,,False
2.297,SEARCH_FIRST_BOUNDARY,34.0,26,16,134,40,0,-25.0,,,,,,,,,,,False
2.391,SEARCH_FIRST_BOUNDARY,33.0,25,15,135,40,0,-25.0,,,,,,,,,,,False
2.406,SEARCH_FIRST_BOUNDARY,33.0,25,15,135,40,0,-25.0,,,,,,,,,,,False
2.500,SEARCH_FIRST_BOUNDARY,33.0,24,15,136,40,0,-25.0,-0.08,-42.05,0.629,,,,,,,,False
2.531,SEARCH_FIRST_BOUNDARY,32.0,24,15,145,40,0,-25.0,-0.08,-42.05,0.629,,,,,,,,False
2.656,SEARCH_FIRST_BOUNDARY,32.0,23,15,146,40,0,-25.0,0.32,-43.07,0.616,,,,,,,,False
2.781,TRACK_OPENING,31.0,22,14,151,40,0,-25.0,0.85,-44.69,0.604,,,,,,,,False
2.906,TRACK_OPENING,31.0,22,14,156,40,0,-25.0,1.44,-46.44,0.600,,,,,,,,False
3.000,TRACK_OPENING,30.0,23,14,162,40,0,-25.0,2.28,-46.02,0.629,,,,,,,,False
3.109,TRACK_OPENING,29.0,23,13,167,40,0,-25.0,3.04,-46.73,0.616,,,,,,,,False
3.219,TRACK_OPENING,29.0,23,13,172,40,0,-25.0,4.03,-49.10,0.604,,,,,,,,False
3.328,TRACK_OPENING,28.0,23,13,177,40,0,-25.0,4.85,-51.38,0.600,,,,,,,,False
3.453,TRACK_OPENING,28.0,23,13,183,40,0,-25.0,5.52,-53.55,0.600,,,,,,,,False
3.578,TRACK_OPENING,27.0,23,13,188,40,0,-25.0,5.52,-53.55,0.600,,,,,,,,False
3.687,TRACK_OPENING,26.0,26,12,163,40,0,-25.0,5.52,-53.55,0.600,,,,,,,,False
3.797,TRACK_OPENING,26.0,58,12,123,40,0,-25.0,5.52,-53.55,0.600,,,,,,,,False
3.922,TRACK_OPENING,26.0,93,12,117,40,0,-25.0,5.52,-53.55,0.600,,,,,,,,False
4.047,TRACK_OPENING,25.0,94,12,113,40,0,-25.0,5.52,-53.55,0.600,,,,,,,,False
4.156,TRACK_OPENING,24.0,94,11,128,40,0,-25.0,5.52,-53.55,0.600,,,,,,,,False
4.266,TRACK_OPENING,24.0,94,12,201,40,0,-25.0,5.52,-53.55,0.600,,,,,,,,False
