elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.297,SEARCH_LAST_PILLAR,,,,,80,0,-30.0,,,,,,,,,,,False
0.406,SEARCH_LAST_PILLAR,0.0,63,250,50,80,0,-30.0,,,,,,,,,,,False
0.484,PASS_LAST_PILLAR,0.0,64,244,50,80,0,-30.0,,,,,,,,,,,False
0.562,PASS_LAST_PILLAR,-1.0,61,246,49,80,0,-30.0,,,,,,,,,,,False
0.594,PASS_LAST_PILLAR,-2.0,59,243,50,80,0,-30.0,,,,,,,,,,,False
0.656,PASS_LAST_PILLAR,-3.0,61,242,57,80,0,-30.0,,,,,,,,,,,False
0.687,PASS_LAST_PILLAR,-5.0,60,148,223,80,0,-30.0,,,,,,,,,,,False
0.750,PASS_LAST_PILLAR,-5.0,59,131,227,80,0,-30.0,,,,,,,,,,,False
0.781,PASS_LAST_PILLAR,-7.0,58,38,231,80,0,-30.0,,,,,,,,,,,False
0.797,PASS_LAST_PILLAR,-7.0,58,38,231,80,0,-30.0,,,,,,,,,,,False
0.875,PASS_LAST_PILLAR,-8.0,58,37,232,80,0,-30.0,,,,,,,,,,,False
0.891,PASS_LAST_PILLAR,-9.0,56,36,235,80,0,-30.0,,,,,,,,,,,False
0.969,PASS_LAST_PILLAR,-10.0,55,35,235,80,0,-30.0,,,,,,,,,,,False
0.984,PASS_LAST_PILLAR,-11.0,54,38,235,80,0,-30.0,,,,,,,,,,,False
1.047,PASS_LAST_PILLAR,-12.0,55,112,236,80,0,-30.0,,,,,,,,,,,False
1.078,PASS_LAST_PILLAR,-13.0,52,231,234,80,0,-30.0,,,,,,,,,,,False
1.156,PASS_LAST_PILLAR,-14.0,54,227,201,80,0,-30.0,,,,,,,,,,,False
1.172,PASS_LAST_PILLAR,-16.0,56,240,234,80,0,-30.0,,,,,,,,,,,False
1.203,PASS_LAST_PILLAR,-16.0,56,240,240,80,0,-30.0,,,,,,,,,,,False
1.281,PASS_LAST_PILLAR,-17.0,57,241,240,80,0,-30.0,,,,,,,,,,,False
1.297,PASS_LAST_PILLAR,-18.0,56,238,52,80,0,-30.0,,,,,,,,,,,False
1.375,PASS_LAST_PILLAR,-19.0,55,201,50,80,0,-30.0,,,,,,,,,,,False
1.391,PASS_LAST_PILLAR,-20.0,56,137,114,80,0,-30.0,,,,,,,,,,,False
1.469,PASS_LAST_PILLAR,-21.0,52,137,111,80,0,-30.0,,,,,,,,,,,False
1.484,PASS_LAST_PILLAR,-22.0,56,137,103,80,0,-30.0,,,,,,,,,,,False
