elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.453,SEARCH_LAST_PILLAR,0.0,61,66,224,80,0,-20.0,-5.31,38.53,0.848,,,,,,,,False
0.562,SEARCH_LAST_PILLAR,0.0,58,73,208,80,0,-20.0,-6.03,31.19,0.871,,,,,,,,False
0.656,PASS_LAST_PILLAR,-1.0,57,60,130,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
0.734,PASS_LAST_PILLAR,-2.0,58,58,225,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
0.750,PASS_LAST_PILLAR,-3.0,58,57,203,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
0.828,PASS_LAST_PILLAR,-3.0,56,57,214,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
0.843,PASS_LAST_PILLAR,-4.0,55,57,232,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
0.953,PASS_LAST_PILLAR,-4.0,56,60,231,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
1.031,PASS_LAST_PILLAR,-5.0,55,249,87,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
1.047,PASS_LAST_PILLAR,-6.0,55,254,234,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
1.125,PASS_LAST_PILLAR,-6.0,56,251,236,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
1.156,PASS_LAST_PILLAR,-7.0,55,253,238,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
1.218,PASS_LAST_PILLAR,-7.0,54,255,238,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
1.250,PASS_LAST_PILLAR,-8.0,55,255,242,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
1.312,PASS_LAST_PILLAR,-8.0,55,248,242,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
1.343,PASS_LAST_PILLAR,-9.0,52,251,241,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
1.406,PASS_LAST_PILLAR,-9.0,53,254,244,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
1.437,PASS_LAST_PILLAR,-10.0,52,254,188,80,0,-20.0,-5.48,29.79,0.871,,,,,,,,False
