elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.297,SEARCH_LAST_PILLAR,,,,,80,0,20.0,-18.50,3.82,0.932,,,,,,,,False
0.391,SEARCH_LAST_PILLAR,-2.0,66,244,27,80,0,20.0,-18.46,3.82,0.914,,,,,,,,False
0.485,PASS_LAST_PILLAR,-3.0,64,239,28,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
0.563,PASS_LAST_PILLAR,-3.0,65,241,28,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
0.641,PASS_LAST_PILLAR,-2.0,65,239,28,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
0.657,PASS_LAST_PILLAR,-1.0,69,237,28,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
0.766,PASS_LAST_PILLAR,-1.0,67,236,28,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
0.844,PASS_LAST_PILLAR,1.0,67,236,28,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
0.860,PASS_LAST_PILLAR,2.0,68,234,28,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
0.922,PASS_LAST_PILLAR,2.0,68,235,28,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
0.953,PASS_LAST_PILLAR,2.0,67,234,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.032,PASS_LAST_PILLAR,3.0,66,234,28,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.047,PASS_LAST_PILLAR,4.0,66,232,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.125,PASS_LAST_PILLAR,4.0,67,232,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.235,PASS_LAST_PILLAR,5.0,65,207,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.266,PASS_LAST_PILLAR,6.0,66,194,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.344,PASS_LAST_PILLAR,6.0,67,203,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.360,PASS_LAST_PILLAR,7.0,66,222,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.422,PASS_LAST_PILLAR,7.0,65,227,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.453,PASS_LAST_PILLAR,8.0,68,224,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.516,PASS_LAST_PILLAR,9.0,68,196,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.547,PASS_LAST_PILLAR,9.0,69,129,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.610,PASS_LAST_PILLAR,10.0,69,115,30,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.641,PASS_LAST_PILLAR,11.0,70,102,32,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.672,PASS_LAST_PILLAR,11.0,70,99,33,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.735,PASS_LAST_PILLAR,11.0,71,96,34,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.766,PASS_LAST_PILLAR,12.0,71,88,35,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.828,PASS_LAST_PILLAR,13.0,71,85,35,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.860,PASS_LAST_PILLAR,13.0,71,80,35,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.938,PASS_LAST_PILLAR,13.0,72,78,35,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
1.953,PASS_LAST_PILLAR,14.0,73,72,34,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
2.032,PASS_LAST_PILLAR,15.0,73,70,33,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
2.047,PASS_LAST_PILLAR,15.0,74,65,32,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
2.125,PASS_LAST_PILLAR,16.0,73,63,31,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
2.141,PASS_LAST_PILLAR,16.0,74,59,30,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
2.157,PASS_LAST_PILLAR,17.0,75,57,30,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
2.235,PASS_LAST_PILLAR,17.0,75,55,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
2.266,PASS_LAST_PILLAR,18.0,76,51,29,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
2.344,PASS_LAST_PILLAR,18.0,77,50,28,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
2.422,PASS_LAST_PILLAR,19.0,77,47,28,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
2.453,PASS_LAST_PILLAR,20.0,79,43,27,80,0,20.0,-18.42,3.60,0.881,,,,,,,,False
2.516,SEARCH_FIRST_BOUNDARY,20.0,79,42,28,40,0,-25.0,,,,,,,,,,,False
2.547,SEARCH_FIRST_BOUNDARY,21.0,80,38,28,40,0,-25.0,,,,,,,,,,,False
2.563,SEARCH_FIRST_BOUNDARY,22.0,81,37,28,40,0,-25.0,,,,,,,,,,,False
2.641,SEARCH_FIRST_BOUNDARY,22.0,81,36,28,40,0,-25.0,,,,,,,,,,,False
2.672,SEARCH_FIRST_BOUNDARY,25.0,19,32,27,40,0,-25.0,,,,,,,,,,,False
2.750,SEARCH_FIRST_BOUNDARY,24.0,19,32,28,40,0,-25.0,,,,,,,,,,,False
2.844,SEARCH_FIRST_BOUNDARY,24.0,18,32,28,40,0,-25.0,,,,,,,,,,,False
2.922,SEARCH_FIRST_BOUNDARY,24.0,19,32,24,40,0,-25.0,,,,,,,,,,,False
2.953,SEARCH_FIRST_BOUNDARY,23.0,18,33,23,40,0,-25.0,,,,,,,,,,,False
3.032,SEARCH_FIRST_BOUNDARY,23.0,18,33,23,40,0,-25.0,,,,,,,,,,,False
3.047,SEARCH_FIRST_BOUNDARY,23.0,16,33,23,40,0,-25.0,,,,,,,,,,,False
3.125,SEARCH_FIRST_BOUNDARY,23.0,17,33,23,40,0,-25.0,,,,,,,,,,,False
3.157,SEARCH_FIRST_BOUNDARY,22.0,16,34,23,40,0,-25.0,,,,,,,,,,,False
3.235,SEARCH_FIRST_BOUNDARY,22.0,15,33,23,40,0,-25.0,,,,,,,,,,,False
3.266,SEARCH_FIRST_BOUNDARY,22.0,15,34,23,40,0,-25.0,,,,,,,,,,,False
3.360,SEARCH_FIRST_BOUNDARY,22.0,15,34,23,40,0,-25.0,,,,,,,,,,,False
3.453,SEARCH_FIRST_BOUNDARY,21.0,15,35,23,40,0,-25.0,,,,,,,,,,,False
3.532,SEARCH_FIRST_BOUNDARY,21.0,16,35,23,40,0,-25.0,,,,,,,,,,,False
3.563,SEARCH_FIRST_BOUNDARY,20.0,16,36,23,40,0,-25.0,,,,,,,,,,,False
3.641,SEARCH_FIRST_BOUNDARY,20.0,16,36,23,40,0,-25.0,,,,,,,,,,,False
3.657,SEARCH_FIRST_BOUNDARY,20.0,16,36,23,40,0,-25.0,,,,,,,,,,,False
3.735,SEARCH_FIRST_BOUNDARY,20.0,16,36,23,40,0,-25.0,,,,,,,,,,,False
3.828,SEARCH_FIRST_BOUNDARY,19.0,16,37,24,40,0,-25.0,,,,,,,,,,,False
3.860,SEARCH_FIRST_BOUNDARY,19.0,16,37,24,40,0,-25.0,,,,,,,,,,,False
3.938,SEARCH_FIRST_BOUNDARY,19.0,16,37,24,40,0,-25.0,,,,,,,,,,,False
3.953,SEARCH_FIRST_BOUNDARY,18.0,16,38,24,40,0,-25.0,,,,,,,,,,,False
4.032,SEARCH_FIRST_BOUNDARY,18.0,16,38,24,40,0,-25.0,,,,,,,,,,,False
4.125,SEARCH_FIRST_BOUNDARY,18.0,17,39,24,40,0,-25.0,,,,,,,,,,,False
4.157,SEARCH_FIRST_BOUNDARY,17.0,65,39,24,40,0,-25.0,,,,,,,,,,,False
4.235,SEARCH_FIRST_BOUNDARY,17.0,80,39,25,40,0,-25.0,,,,,,,,,,,False
4.266,SEARCH_FIRST_BOUNDARY,17.0,81,40,24,40,0,-25.0,,,,,,,,,,,False
4.328,SEARCH_FIRST_BOUNDARY,16.0,81,41,25,40,0,-25.0,,,,,,,,,,,False
4.360,SEARCH_FIRST_BOUNDARY,16.0,82,41,25,40,0,-25.0,,,,,,,,,,,False
4.438,SEARCH_FIRST_BOUNDARY,16.0,81,41,25,40,0,-25.0,,,,,,,,,,,False
